trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.998001}",30,0,-97.20933045961647,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.6, 'e': 0.997002999}",20,9,-26.303569748771736,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
3,False,"{'a': 0.6, 'e': 0.996005996001}",20,0,-83.39085143511096,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.6, 'e': 0.995009990004999}",20,0,-53.39608652778443,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
5,False,"{'a': 0.6, 'e': 0.994014980014994}",20,0,-100.96446172695296,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
6,False,"{'a': 0.6, 'e': 0.993020965034979}",30,0,-168.30994656818442,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
7,False,"{'a': 0.6, 'e': 0.9920279440699441}",25,0,-178.02603297834918,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
8,False,"{'a': 0.6, 'e': 0.9910359161258742}",25,0,-125.86595225154863,"{0: 13, 1: 2, 2: 7, 3: 3, 4: 0}",0
9,False,"{'a': 0.6, 'e': 0.9900448802097482}",20,0,-127.08968787765234,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
10,False,"{'a': 0.6, 'e': 0.9890548353295385}",20,0,-93.54361424923994,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.6, 'e': 0.988065780494209}",30,0,-136.7636629807953,"{0: 21, 1: 2, 2: 3, 3: 2, 4: 2}",0
12,False,"{'a': 0.6, 'e': 0.9870777147137147}",20,0,-59.12729468404429,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
13,False,"{'a': 0.6, 'e': 0.986090636999001}",25,0,-199.16104448148062,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
14,False,"{'a': 0.6, 'e': 0.9851045463620021}",20,0,-150.49818779492733,"{0: 9, 1: 2, 2: 5, 3: 3, 4: 1}",0
15,False,"{'a': 0.6, 'e': 0.98411944181564}",25,0,-108.25227442237883,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
16,False,"{'a': 0.6, 'e': 0.9831353223738244}",20,0,-134.21693801941453,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
17,False,"{'a': 0.6, 'e': 0.9821521870514506}",25,0,-116.53496596447785,"{0: 15, 1: 5, 2: 1, 3: 3, 4: 1}",0
18,False,"{'a': 0.6, 'e': 0.9811700348643991}",20,0,-55.86946768839532,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
19,False,"{'a': 0.6, 'e': 0.9801888648295347}",30,0,-88.91822157746867,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.6, 'e': 0.9792086759647052}",20,0,-42.74930343472603,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
21,False,"{'a': 0.6, 'e': 0.9782294672887405}",25,0,-90.44185702302138,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
22,False,"{'a': 0.6, 'e': 0.9772512378214517}",20,0,-223.17949522554198,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 4}",0
23,False,"{'a': 0.6, 'e': 0.9762739865836303}",20,0,-98.7733004176529,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
24,False,"{'a': 0.6, 'e': 0.9752977125970467}",25,0,-129.9779617042218,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
25,False,"{'a': 0.6, 'e': 0.9743224148844496}",35,0,-106.96618077951572,"{0: 19, 1: 6, 2: 10, 3: 0, 4: 0}",0
26,False,"{'a': 0.6, 'e': 0.9733480924695651}",20,12,-63.702440533042356,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 1}",1
27,False,"{'a': 0.6, 'e': 0.9723747443770956}",25,0,-100.20538286376836,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
28,False,"{'a': 0.6, 'e': 0.9714023696327185}",20,0,-110.62432327524891,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
29,False,"{'a': 0.6, 'e': 0.9704309672630859}",20,0,-131.7584293598482,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
30,False,"{'a': 0.6, 'e': 0.9694605362958227}",30,0,-87.84274354528434,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
31,False,"{'a': 0.6, 'e': 0.9684910757595269}",20,0,-53.0902899482914,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
32,False,"{'a': 0.6, 'e': 0.9675225846837673}",30,22,14.235258561820753,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.6, 'e': 0.9665550620990835}",25,0,-165.2729465153932,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 3}",0
34,False,"{'a': 0.6, 'e': 0.9655885070369844}",25,0,-115.22434909843288,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
35,False,"{'a': 0.6, 'e': 0.9646229185299474}",25,0,-122.47889842380424,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
36,False,"{'a': 0.6, 'e': 0.9636582956114175}",20,0,-165.23717167130653,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
37,False,"{'a': 0.6, 'e': 0.9626946373158061}",25,0,-134.86111671989255,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
38,False,"{'a': 0.6, 'e': 0.9617319426784903}",25,0,-234.0563404897802,"{0: 13, 1: 1, 2: 6, 3: 1, 4: 4}",0
39,False,"{'a': 0.6, 'e': 0.9607702107358118}",25,0,-121.85920058059742,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
40,False,"{'a': 0.6, 'e': 0.959809440525076}",20,0,-63.727006095953655,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
41,False,"{'a': 0.6, 'e': 0.9588496310845509}",25,0,-133.25499649711793,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",1
42,False,"{'a': 0.6, 'e': 0.9578907814534664}",35,0,-112.21701567343978,"{0: 24, 1: 3, 2: 5, 3: 2, 4: 1}",0
43,False,"{'a': 0.6, 'e': 0.9569328906720129}",25,0,-135.93979270004843,"{0: 13, 1: 7, 2: 3, 3: 0, 4: 2}",0
