trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-141.20269314729236,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-162.74082302339056,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,14,-12.416572961810898,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.91865523142539,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.58975962301096,"{0: 14, 1: 0, 2: 2, 3: 3, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.73710179554634,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.16687237132498,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.33402924318665,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.98592285221089,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,3,-89.39554932847668,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 2}",1
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-34.952750605029,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.09340119186261,"{0: 11, 1: 6, 2: 1, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.82231492366238,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.75798174257659,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,10,-83.82419778857047,"{0: 8, 1: 1, 2: 5, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-84.29391342243437,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-135.57673598832724,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-144.08590112463685,"{0: 14, 1: 2, 2: 5, 3: 3, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.6949661717034,"{0: 8, 1: 2, 2: 9, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-91.27122370544154,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-142.13357426650643,"{0: 14, 1: 0, 2: 8, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-109.44166233790713,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-136.8703689628072,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",35,0,-127.05724042247166,"{0: 25, 1: 1, 2: 7, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-163.2211087142375,"{0: 17, 1: 4, 2: 5, 3: 2, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-128.62977580459287,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,6,-42.298556549624564,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-75.37598753215578,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",35,0,-156.41955192876685,"{0: 21, 1: 5, 2: 7, 3: 0, 4: 2}",1
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-43.68772898313408,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
